name,description,permission,url
Calendar Widget Month  Agenda,Description Calendar Widget Month Agenda%%Synced Google calendars%%Beautiful clean design%%Looks similar HTC Calendar Widget HTC Sense,READ_CALENDAR,https://calendar-widget.en.aptoide.com/
Transparent clock weather Adfree,Description Transparent clock weather Ad free%%Get accurate weather forecast easy use app%%Customize home screen beautiful widgets check current weather time home screen click widget launch weather app details information%%Be prepared weather changes fully customized weather alerts plan weekends holidays ease%%Never get caught unprepared good bad weather%%The weather app keep track current location provide accurate weather forecast times%%You also keep track time weather locations worldwide%%Our easy use layout provides important information glance using easy read graphs beautiful backgrounds show current weather condition weather day night%%The application displays following%%Current temperature Feels like temperature%%Atmospheric pressure%%Wind speed direction%%Humidity dew point heat index wind chill%%Visibility%%day hour weather forecast%%hour precipitation forecast rain snow%%Sunrise sunset times duration current day%%Moonrise moonset current moon phase upcoming major moon phases%%Weather radar layers clouds rain pressure%%For want information application provides following pages using bottom toolbar%%Detailed hourly forecast next hours%%day future weather forecast%%Detailed wind forecast next hours%%Hourly daily graphs temperature pressure wind humidity rain%%Extended moon phase information months%%The application provides many options features additional icons backgrounds customize appearance like%%Website%%Facebook%%Email us questions problems%%We always happy help,READ_CALENDAR,https://transparent-clock-weather-premium.en.aptoide.com/
My First Skool Parent Portal,Description My First Skool Parent Portal%%This app aims enhance communication parents teachers%%It allows parents keep track children s development learning centres also provides parents updates announcements events%%Harnessing mobile technology todays world allows parent greater involvement children s lives enables share special milestones growth%%Only selected preschools,READ_CALENDAR,https://my-first-skool.en.aptoide.com/
360 VUZ  Live VR  Video Views  فيوز,Description VUZ Live VR Video%%VIEW DEGREES EXCLUSIVE VIDEOS latest events experiences behind scenes destinations%%This app let Emerge Into Virtual Reality new video experience recorded LIVE%%VUZ فيوز%%You choose view%%You engage panoramic videos control want see angle video movement hand touch finger%%The app feature top video content UAE Dubai Abu Dhabi KSA Jeddah Riyadh Kuwait Qatar Jordan Lebanon Beirut%%You connect application VR mobile monitor view videos recorded LIVE%%This app support Gyroscope help navigating video moving device direction%%You use app country without VPN%%Features%%Live VR Videos%%NEW%%Most virtual reality videos hd K free%%one first top vrapps%%Most VR content middle east specifically UAE KSA Dubai Abu Dhabi%%Soon app start accepting sms subscriptions providers Du%%Shahid LIVE%%شاهد فيديوهات درجة بث مباشر لايف%%This video editor app video maker camera video downloader panorama editor app It free video player top videos%%MEA pioneers Middle East region video innovations originated Dubai United Arab Emirates first launch video player App Middle East%%Like us Facebook,READ_CALENDAR,https://360-vuz.en.aptoide.com/
Healthy 365,Description Healthy%%Healthy mobile app brought Health Promotion Board HPB%%This app enables track daily steps count calculate corresponding calories burned move%%Among tracking sources use Samsung Health track steps%%With compatible wearable tracks heart rate also track duration engaged higher intensity physical activities%%Steps heart rate data Samsung Health shared Healthy mobile app participating Health Challenges%%Key features include%%Dashboard provide overview fitness Healthpoints rewards information%%Health Challenges enable step get healthy earn Healthpoints redeem rewards%%History charts keep records past steps count heart rate distance covered calorie intake output%%Healthpoints history function allows tracking scans healthier food drink grocery consumption%%Sync Friends function allow nonsmartphone smartphone participants conveniently sync steps friend family member smartphone%%Background location detection nearby ScanWin Hotspots earning Healthpoints%%Note,READ_CALENDAR,https://healthy-365.en.aptoide.com/
Kredivo  Installment Without Credit Card and Loan,Description Kredivo Installment Without Credit Card Loan%%Want shop online nt credit card%%Need quick loans emergency situations%%Too much hassles apply credit rejected%%Fortunately Kredivo online credit line provider offers installment without credit card well personal loan%%Kredivo award winning app Google Play Best Apps evaluates creditworthiness real time%%The registration process minute approval given hours%%If approved directly shop online installment using Kredivo buy pay later Tokopedia Shopee Lazada Bukalapak merchants clicks%%Want buy new mobile phone%%You buy online credit card needed zero payment choosing Kredivo payment method favorite merchant%%You also buy pulsa data pay bills take personal loans inside Kredivo app directly get quick cash advance cater every need%%Want seamless online flight booking experience%%You book flight ticket pay later anywhere wish Kredivo app%%Right fingertips find cheapest flight tickets various airlines domestic international including Garuda Indonesia Batik Air Citilink AirAsia%%Kredivo offers two payment options%%Get transaction limit Rp%%The credit simulation example follows%%If choose month installment pay transaction worth Rp Kredivo charges interest rate per month%%The repayment amount must made per month Rp total payment year Rp%%WHY KREDIVO%%WITHOUT BI CHECKING%%You apply installment take personal loan without credit history Kredivo leveraging AI machine learning technology proprietary credit decisioning system%%SIMPLER AND FASTER%%Kredivo offers accessible convenient credit%%You apply online connecting digital accounts via Kredivo mobile web app%%After approval process takes minutes utilize simple click checkout shopping online get personal loan within minutes%%SAFE AND SECURE%%Do nt worry security Kredivo user data encrypted%%Kredivo also officially registered regulated OJK credibility guaranteed%%LOWEST INTEREST RATE WITHOUT DOWN PAYMENT%%Kredivo offers lowest interest rate%%Plus payment charged Kredivo services%%Have feedback us%%Email us%%Business address Rukan Permata Senayan Jl%%Tentara Pelajar No%%Grogol Utara Kebayoran Lama Jakarta%%Permissions needed app%%READPHONESTATE%%Kredivo requires mobile s IMEI reject duplicate applications via mobile device%%READCONTACTS%%App scan contacts build user s social graph use credit approval decision%%READSMS%%App automatically read verification code sent via SMS expedite registration process%%READCALLLOG%%App scan call logs check known fraud users calculate calls duration use credit approval decision%%ACCESSCOARSELOCATION%%App provide better security account also send timely promotions,READ_CALENDAR,https://kredivo.en.aptoide.com/
